filename,publication_year,study_type,n_patients,patient_population,mean_age,percent_male,disease_phenotype,scoring_systems_used,has_van_assche_magnificd_comparison,mri_field_strength,mri_sequences_used,fibrosis_reported,percent_fibrosis,percent_abscess,percent_healing,clinical_remission_definition,treatment_studied,followup_duration_months,extraction_confidence,data_richness_score,evidence_snippet,extraction_notes,n_crosswalk_comparisons,n_scoring_systems_detailed,extraction_timestamp
Randomization-Based_Inference_for_Average_Treatment_Effects_in_Inexactly_Matched_Observational_Studi.pdf,,methodological,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a methodological statistics paper about causal inference in observational studies using matching methods. It does not mention Crohn's disease, MRI, or any MRI scoring systems (Van Assche, MAGNIFI-CD, mVAI, PEMPAC, Fibrosis Score). The content focuses on randomization-based inference, propensity scores, and bias correction for average treatment effects. There are no clinical data, patient populations, or MRI-based outcomes relevant to Crohn's disease research.",Paper is purely methodological about causal inference and matching techniques. No clinical data related to Crohn's disease or MRI scoring systems could be extracted.,0,0,2025-12-02 15:03:31.419995
Distinguishing_Clinical_Sentiment_The_Importance_of_Domain_Adaptation_in_Psychiatric_Patient_Health.pdf,,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about natural language processing and sentiment analysis of psychiatric electronic health records. It contains no mention of MRI, Crohn's disease, or any MRI scoring systems (Van Assche, MAGNIFI-CD, etc.).",Paper is completely unrelated to MRI-based Crohn's disease research. No relevant data to extract for the specified schema.,0,0,2025-12-02 15:03:31.419995
Correlation_between_computed_tomography_imaging_features_of_mesenteric_fat_and_inflammatory_activity.pdf,2025.0,retrospective,47.0,mixed,37.2,65.96,"mixed (non-stenosing non-penetrating, stenosing, penetrating, perianal)","Mesenteric Creeping Fat Index (MCFI), simplified CDAI",False,,T2-TSE-SPAIR,True,,,,CDAI total score ≤4 is the remission stage,,,0.3,2,"The study aimed to explore the correlation between computed tomography (CT) value distribution changes of mesenteric-surrounding fat in CD and disease activity. Quantitative measurements were obtained for mesenteric adipose tissue density. Mesenteric fat around the bowel were classified according to the MCFI. Based on the simplified CD activity index (CDAI) score, the patients were divided into a moderate-to-severe active CD group (>8 points), a mildly active CD group (5-7 points).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,2,2025-12-02 15:03:31.419995
A_classification_of_van_der_Waerden_complexes_with_linear_resolution.pdf,,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about pure mathematics (van der Waerden complexes, simplicial complexes, Stanley-Reisner rings, linear resolutions, Cohen-Macaulay complexes, level rings). It contains no clinical data, no MRI data, no Crohn's disease information, and no scoring systems.",Paper is entirely mathematical/combinatorial with no clinical relevance to Crohn's disease or MRI scoring. No data to extract for the specified schema.,0,0,2025-12-02 15:03:31.419995
Orchestration_of_Starbirth_Activity_in_Disk_Galaxies_New_Perspectives_from_Ultraviolet_Imaging.pdf,1995.0,review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about ultraviolet imaging of disk galaxies and star formation patterns, with no mention of Crohn's disease, MRI, or any clinical scoring systems.","Paper is completely unrelated to Crohn's disease or MRI research. No clinical data, patient information, or scoring systems could be extracted. This appears to be an astronomy/astrophysics paper.",0,0,2025-12-02 15:03:31.419995
Intraoperative_Autologous_Platelet-Rich_Stroma_Injection_as_Add-On_to_Fistula_Curettage_and_Closure.pdf,2025.0,prospective,25.0,adult,34.4,44.0,perianal fistulizing,modified van Assche index,False,1.5T,T2-weighted,True,,,88.0,complete closure of all treated external opening(s) without discharge at physical examination,autologous platelet-rich stroma injection with fistula curettage and closure of internal orifice,44.4,0.3,3,The modified van Assche index was used to assess the radiologic severity of pCD... The modified van Assche Index decreased significantly from a median of 11 (IQR 9-16) points at baseline to 1 (IQR 1-3) points on the last available MRI (P < .001).,"Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
Functional_Sequential_Treatment_Allocation_with_Covariates.pdf,2020.0,theoretical,,,,,,,False,,,,,,,,,,0.2,1,"This is a theoretical paper on multi-armed bandit problems with covariates and functional targets. It does not contain any clinical data, patient populations, or specific MRI scoring systems for Crohn's disease.","Paper is purely methodological, focusing on statistical theory for sequential treatment allocation. No mention of Crohn's disease, MRI, Van Assche, MAGNIFI-CD, or any other clinical scoring systems. The content is about abstract mathematical frameworks, not clinical studies.",0,0,2025-12-02 15:03:31.419995
Defining_mucosal_healing_in_randomized_controlled_trials_of_inflammatory_bowel_disease_A_systematic.pdf,2024.0,systematic review,,adult,,,,Magnetic Resonance Index of Activity (MaRIA),False,,,,,,,,,,0.3,2,"Only 1 RCT, the DIVERGENCE 1 phase 2 study of filgotinib for small bowel CD included transmural assessment as secondary endpoint. Transmural healing was defined as a centrally read Magnetic Resonance Index of Activity score <7 in all small bowel segments.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
New_score_models_for_assessing_disease_activity_in_Crohn's_disease_based_on_bowel_ultrasound_and_bio.pdf,2023.0,retrospective,110.0,adult,30.38,65.5,"mixed (stricturing, penetrating, perianal)",,False,,,,,,,Mucosal healing defined as SES-CD ≤ 2; Transmural healing defined as CTE0 or CTE1 on CT enterography.,,,0.3,2,"The study establishes new score models (Model A and Model B) based on bowel ultrasound parameters (Limberg grade, bowel wall thickness) and biomarkers (ESR, ALB) to predict mucosal and transmural activity, using SES-CD and CTE as reference standards. No MRI scoring systems (Van Assche, MAGNIFI-CD, etc.) are mentioned or compared.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Machine_learning_approaches_for_fracture_risk_assessment_a_comparative_analysis_of_genomic_and_pheno.pdf,2020.0,retrospective,5130.0,adult,73.6,100.0,,,False,,,,,,,,,,1.0,1,"This paper is about machine learning for fracture risk assessment in osteoporosis, not about Crohn's disease or MRI scoring systems.","Paper is completely unrelated to Crohn's disease, MRI, or the specified scoring systems (Van Assche, MAGNIFI-CD, etc.). It focuses on genomic risk scores and machine learning models for predicting osteoporotic fractures in older men. No relevant data to extract for the MRI-Crohn Atlas schema.",0,0,2025-12-02 15:03:31.419995
Astrophysical_Validation.pdf,,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about astrophysical simulation code validation, specifically hydrodynamics and thermonuclear reaction modeling. There is no mention of Crohn's disease, MRI scoring systems, or clinical patient data.","Paper is completely unrelated to Crohn's disease or MRI scoring systems. It discusses validation of astrophysical simulation codes like Flash, with examples from hydrodynamics experiments and thermonuclear combustion modeling. No clinical data or MRI scoring information is present.",0,0,2025-12-02 15:03:31.419995
GANDALF_Generative_Adversarial_Networks_with_Discriminator-Adaptive_Loss_Fine-tuning_for_Alzheimer's.pdf,,,1033.0,adult,,,,,False,,T1-weighted,,,,,,,,0.7,1,"The dataset contains six dementia related conditions: cognitive normal (CN), early mild cognitive impairment (EMCI), late mild cognitive impairment (LMCI), mild cognitive impairment (MCI), subjective memory complaint (SMC), and Alzheimer disease (AD). We randomly divide the dataset with 70% training, 10% validation, and 20% testing according to the patients, resulting 722/104/207 subjects for each train/validation/test set.","Paper is about Alzheimer's Disease diagnosis using MRI and synthetic PET, not Crohn's disease. No MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.) are mentioned. Patient count (1033) is inferred from train/validation/test split totals (722+104+207).",0,0,2025-12-02 15:03:31.419995
Renal_complications_in_pediatric_Crohn's_disease_a_rare_case_of_bilateral_hydronephrosis_and_review.pdf,2025.0,case report,1.0,pediatric,14.0,100.0,inflammatory phenotype,,False,,,,,,,,"adalimumab, double-J catheter placement",6.0,0.7,1,"Case report of a 14-year-old male with Crohn's disease (inflammatory phenotype) who developed bilateral acalculous hydronephrosis. Diagnosis was made via CT, not MRI. No MRI scoring systems are mentioned.",This is a urology-focused case report about renal complications in pediatric Crohn's disease. The paper does not discuss MRI-based scoring systems for Crohn's disease activity. The focus is on hydronephrosis diagnosis and management with CT imaging and double-J catheters.,0,0,2025-12-02 15:03:31.419995
Towards_precise_resting-state_fMRI_biomarkers_in_psychiatry_synthesizing_developments_in_transdiagno.pdf,,review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a review article about resting-state fMRI biomarkers in psychiatry, discussing transdiagnostic research, dimensional models of psychopathology, and normative neurodevelopment. It does not mention Crohn's disease, MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.), or any gastrointestinal disorders.",Paper is completely unrelated to Crohn's disease or MRI scoring systems for Crohn's disease. It focuses on psychiatric disorders and fMRI biomarkers.,0,0,2025-12-02 15:03:31.419995
LAVA_HyperSense_and_deep-learning_reconstruction_for_near-isotropic_(3D)_enhanced_magnetic_resonance.pdf,2023.0,retrospective,35.0,adult,,,,,False,3T,"CE-T1W, LAVA, DWI",,,,,,,,0.3,1,This study aimed to compare near-isotropic contrast-enhanced T1-weighted (CE-T1W) magnetic resonance enterography (MRE) images reconstructed with vendor-supplied deep-learning reconstruction (DLR) with those reconstructed conventionally in terms of image quality.,"Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Kasabach-Merritt_syndrome_arising_from_an_Enteroatmospheric_Fistula.pdf,,case report,1.0,pediatric,,,,,False,,,,,,,,surgical resection,,0.2,1,"This case examined an infant who was born prematurely with findings largely consistent with a Kasabach-Merritt phenomenon, manifesting in the context of a hyper-vascular, fistulous region of bowel. The paper is a case report on Kasabach-Merritt syndrome associated with an enteroatmospheric fistula. No MRI scoring systems for Crohn's disease are mentioned.","Paper is about Kasabach-Merritt syndrome, a hematologic condition, not about Crohn's disease or MRI scoring. No relevant MRI data to extract. Confidence is low because the content is outside the specified domain.",0,0,2025-12-02 15:03:31.419995
Abstracts_DGKCH.pdf,2025.0,retrospective,,pediatric,,,,,False,,,,,,,,,,0.3,1,"This document contains multiple abstracts from a pediatric surgery congress. The topics include necrotizing pneumonia, parapneumonic effusions, Hirschsprung's disease, anorectal malformations, hypospadias, pentalogy of Cantrell, rhabdomyosarcoma, intussusception, pyloromyotomy, and various other pediatric surgical conditions. There is no mention of Crohn's disease, MRI scoring systems (Van Assche, MAGNIFI-CD, etc.), or correlations between such systems.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
METRIC-EF_magnetic_resonance_enterography_to_predict_disabling_disease_in_newly_diagnosed_Crohn's_di.pdf,2022.0,prospective,207.0,adult,,,"newly diagnosed (luminal, stricturing, penetrating)","Magnetic resonance Enterography Global Score (MEGS), simplified MAgnetic Resonance Index of Activity (sMaRIA), Lémann Index (LI)",False,1.5 T or 3 T,"T2-weighted, diffusion-weighted imaging (DWI)",,,,,,,48.0,0.7,2,"We will calculate established MRE activity indices as follows: Magnetic resonance Enterography Global Score (MEGS), Simplified Magnetic Resonance Index of Activity (sMaRIA), Lémann Index (LI). The primary outcome is to evaluate the comparative predictive ability of prognostic models incorporating MRE severity scores (MEGS, sMaRIA and Lémann Index) versus models using standard characteristics alone to predict disabling CD.","This is a study protocol, not results. It explicitly states the scoring systems to be used (MEGS, sMaRIA, LI) but does not report any actual scores, means, or correlations. No Van Assche or MAGNIFI-CD indices are mentioned.",0,3,2025-12-02 15:03:31.419995
Using_Bottleneck_Adapters_to_Identify_Cancer_in_Clinical_Notes_under_Low-Resource_Constraints.pdf,,retrospective,125381.0,mixed,,,,,False,,,,,,,,,,0.2,1,"This paper is about natural language processing for cancer identification in clinical notes. It does not mention MRI, Crohn's disease, or any MRI scoring systems (Van Assche, MAGNIFI-CD, mVAI, PEMPAC, Fibrosis Score).","Paper is about NLP for cancer detection in clinical notes, not about MRI or Crohn's disease. No relevant data for MRI-Crohn Atlas extraction.",0,0,2025-12-02 15:03:31.419995
Comparison_between_fecal_calprotectin_and_magnetic_resonance_enterography_in_ileal_Crohn's_disease_f.pdf,2025.0,review,384.0,adult,,,ileal,"MaRIA, sMaRIA, SEAS-CD, MEGS",False,,,,,,,,,,0.3,2,"Regarding MR enterography scoring systems, three studies applied the magnetic resonance index of activity (MaRIA), two employed the simplified magnetic resonance index of activity (sMaRIA), two used the simple enterography activity score for Crohn’s disease (SEAS-CD), and one utilized the magnetic resonance enterography global score (MEGS).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,4,2025-12-02 15:03:31.419995
Learn_to_Accumulate_Evidence_from_All_Training_Samples_Theory_and_Practice.pdf,2023.0,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about evidential deep learning for uncertainty quantification in classification tasks (e.g., MNIST, Cifar10, Cifar100). It discusses activation functions (ReLU, SoftPlus, exp) and regularization techniques, but contains no information about MRI-based Crohn's disease, scoring systems (Van Assche, MAGNIFI-CD, etc.), patient populations, or clinical outcomes.","Paper is entirely about machine learning methodology for uncertainty quantification, not medical imaging or Crohn's disease. No relevant data to extract.",0,0,2025-12-02 15:03:31.419995
ESGAR_2023_Book_of_Abstracts.pdf,2023.0,abstracts/proceedings,,,,,perianal fistulizing,"MAGNIFI-CD, modified Van Assche score (mVAS)",False,,,,,,,,,,0.3,2,SS 6.10: 'MAGNIFI-CD index is appropriate for treatment monitoring in perianal fistulizing Crohn's disease' and mentions 'modified Van Assche score (mVAS)'.,"Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,2,2025-12-02 15:03:31.419995
Toward_clinically_relevant_models_of_complex_perianal_fistulas_refining_preclinical_evaluation_for_e.pdf,2025.0,review,,,,,perianal fistulizing,,False,,contrast-enhanced,True,,,,,exosome-based therapies (hUCMSCs-Exo),,0.4,1,"This is a commentary/letter discussing preclinical models for complex perianal fistulas. It mentions MRI for tracking fistula healing but does not report any specific MRI scoring system data, patient cohorts, or correlations between scoring systems.","Paper is a commentary/letter discussing methodological refinements for preclinical models of perianal fistulas. It references MRI use for monitoring but contains no clinical data, scoring system results, or crosswalk information. Focus is on animal models and imaging techniques.",0,0,2025-12-02 15:03:31.419995
High-Resolution_Reference_Image_Assisted_Volumetric_Super-Resolution_of_Cardiac_Diffusion_Weighted_I.pdf,,experimental,,,,,,,False,3T,"diffusion-weighted spin-echo EPI, b0 reference",,,,,,,,1.0,1,"This paper is about a deep learning method for super-resolution of cardiac diffusion weighted imaging (DWI) in swine heart samples. It does not mention Crohn's disease, MRI scoring systems for Crohn's disease, or any clinical patient data.","Paper is entirely focused on a technical MRI methodology for cardiac imaging, not Crohn's disease. No relevant clinical or scoring data to extract.",0,0,2025-12-02 15:03:31.419995
Bright_Luminal_Sign_on_High_b-Value_Diffusion-Weighted_Magnetic_Resonance_Enterography_Imaging_as_a.pdf,2024.0,retrospective,32.0,adult,37.5,69.0,fibro-stenotic,,False,1.5T,"T2-weighted, DWI, contrast-enhanced",True,,,,,,,0.3,2,"This study was performed on 65 patients with CD who underwent MRE, and among them 32 patients showed the bright luminal sign on high b-value DWI. The results indicated a high sensitivity (90%) and specificity (85%) of the bright luminal sign for fibro-stenotic CD.","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,0,2025-12-02 15:03:31.419995
Numerical_validation_of_blow-up_solutions_with_quasi-homogeneous_compactifications.pdf,2018.0,methodology,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a mathematical methodology paper about numerical validation of blow-up solutions for ODEs using quasi-homogeneous compactifications. It contains no clinical data, patient populations, or MRI scoring systems for Crohn's disease.","Paper is purely mathematical, focusing on ODE blow-up solutions and compactification techniques. No clinical or MRI data relevant to Crohn's disease is present.",0,0,2025-12-02 15:03:31.419995
Automatic_Landmarks_Correspondence_Detection_in_Medical_Images_with_an_Application_to_Deformable_Ima.pdf,,retrospective,121.0,adult,,0.0,,,False,,,,,,,,,,0.4,1,"This paper focuses on technical development of a deep learning method (DCNN-Match) for automatic landmark correspondence detection in medical images, with application to deformable image registration. It does not mention any MRI scoring systems for Crohn's disease (Van Assche, MAGNIFI-CD, etc.). The study uses CT and MRI scans from cervical cancer patients, not Crohn's disease patients.","Paper is about technical method development for image registration, not clinical research on Crohn's disease MRI scoring systems. No relevant data for MRI-Crohn Atlas extraction.",0,0,2025-12-02 15:03:31.419995
Leveraging_artificial_intelligence_for_risk_stratification_of_inherited_cardiomyopathies_in_under-re.pdf,2025.0,review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a review article about artificial intelligence applications for risk stratification in inherited cardiomyopathies (HCM, DCM, ACM). It discusses ECG, echocardiography, and cardiac MRI (CMR) applications, but does not mention any specific MRI scoring systems for Crohn's disease such as Van Assche, MAGNIFI-CD, mVAI, PEMPAC, or Fibrosis Score.","Paper is completely off-topic - focuses on AI for inherited cardiomyopathies (heart conditions), not Crohn's disease or MRI scoring systems. No relevant data to extract for the specified schema.",0,0,2025-12-02 15:03:31.419995
How_quantum_computing_can_enhance_biomarker_discovery.pdf,,review,,,,,,,False,,,,,,,,,,0.2,1,"This is a perspective paper discussing quantum algorithms for biomarker discovery across data types (multi-dimensional, time series, erroneous) and modalities (EHRs, omics, medical images). No correlations between scoring systems are present.","Paper is a high-level review of quantum computing applications in biomarker discovery. No specific MRI scoring systems (Van Assche, MAGNIFI-CD, etc.) are mentioned or studied. No patient-level data or clinical trials are presented.",0,0,2025-12-02 15:03:31.419995
On_the_marginal_likelihood_and_cross-validation.pdf,2019.0,review,,,,,,,False,,,,,,,,,,0.2,1,"This paper is a theoretical statistical paper about Bayesian model evaluation, marginal likelihood, and cross-validation. It contains no clinical data, patient information, or references to MRI scoring systems for Crohn's disease.","The provided content is a statistical methodology paper with no relation to Crohn's disease, MRI, or clinical research. No relevant data can be extracted. All fields related to clinical MRI scoring are null.",0,0,2025-12-02 15:03:31.419995
Translating_the_future_Image-to-image_translation_for_the_prediction_of_future_brain_metabolism.pdf,,retrospective,161.0,adult,,,,,False,,,,,,,,,84.0,0.2,1,"This paper is about Alzheimer's disease and brain metabolism prediction using FDG-PET imaging. There is no mention of Crohn's disease, MRI scoring systems (Van Assche, MAGNIFI-CD, etc.), or any related gastrointestinal imaging or clinical outcomes.",Paper is completely unrelated to Crohn's disease or MRI-based scoring systems. It focuses on Alzheimer's disease and FDG-PET imaging for brain metabolism prediction. No relevant data could be extracted for the MRI-Crohn Atlas schema.,0,0,2025-12-02 15:03:31.419995
Development_and_Validation_of_a_Simple_Ultrasound_Activity_Score_for_Crohn's_Disease.pdf,2021.0,prospective,164.0,adult,,,mixed,,False,,,,,,,HBI < 5,,,1.0,1,This paper focuses on developing and validating an ultrasound activity score (SUS-CD) for Crohn's disease. It mentions MRI-based scoring systems like MaRIA in the introduction but does not use or compare any MRI scoring systems in its methodology or results.,"Paper is about ultrasound scoring (SUS-CD), not MRI scoring. Mentions MRI indices (MaRIA, simplified MaRIA) only in background/references. No MRI data or comparisons between MRI scoring systems are presented.",0,0,2025-12-02 15:03:31.419995
Fluid-structure_interaction_modelling_and_stabilisation_of_a_patient-specific_arteriovenous_access_f.pdf,,,,,,,,,False,1.5T,"PC-MRA, 3D velocity encoded acquisitions",,,,,,,,0.2,1,"This paper describes fluid-structure interaction modeling of an arteriovenous fistula using PC-MRA data from a 1.5T MRI scanner. It is focused on hemodynamics and computational modeling, not on Crohn's disease, MRI scoring systems, or clinical outcomes related to inflammatory bowel disease.","Paper is about arteriovenous fistulas for hemodialysis, not Crohn's disease. No MRI scoring systems for Crohn's disease are mentioned. No patient population data, clinical outcomes, or scoring system correlations relevant to Crohn's disease are present.",0,0,2025-12-02 15:03:31.419995
Medical_X-Ray_Image_Enhancement_Using_Global_Contrast-Limited_Adaptive_Histogram_Equalization.pdf,2024.0,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about a technical image enhancement algorithm (G-CLAHE) for X-ray images. It contains no mention of Crohn's disease, MRI, or any MRI scoring systems (Van Assche, MAGNIFI-CD, etc.). The content is purely focused on computer vision/image processing methodology.","Paper is irrelevant to the MRI-Crohn Atlas extraction task. It discusses X-ray image enhancement, not MRI or Crohn's disease. No clinical or scoring data to extract.",0,0,2025-12-02 15:03:31.419995
Scattering_rate_collapse_driven_by_a_van_Hove_singularity_in_the_Dirac_semi-metal_PdTe$_{2}$.pdf,,,,,,,,,False,,,,,,,,,,0.2,1,"This paper is about condensed matter physics and optical spectroscopy of the material PdTe2, discussing van Hove singularities, scattering rates, and superconductivity. It contains no mention of Crohn's disease, MRI, or any clinical scoring systems.",Paper is completely unrelated to Crohn's disease or MRI research. It is a physics paper about Dirac semi-metals and superconductivity. No clinical data can be extracted.,0,0,2025-12-02 15:03:31.419995
A_note_on_the_van_der_Waerden_complex.pdf,2017.0,,,,,,,,False,,,,,,,,,,1.0,1,"This paper is about pure simplicial complexes in combinatorial commutative algebra, specifically the van der Waerden complex. It contains no clinical data, MRI scoring systems, or patient information related to Crohn's disease.","Paper is purely mathematical, focusing on properties of simplicial complexes (vertex decomposable, shellable, Cohen-Macaulay). No clinical or MRI data present.",0,0,2025-12-02 15:03:31.419995
Magnetic_resonance_imaging-based_body_composition_is_associated_with_nutritional_and_inflammatory_st.pdf,2021.0,retrospective,49.0,adult,25.82,79.59,,5-point MRE classification,False,3.0 T,"T1-weighted, T2-weighted, axial, coronal",,,,,,"biological agents (infliximab, adalimumab, vedolizumab, ustekinumab)",4.5,0.3,3,"The total MRE score (8.0 ± 3.9 vs. 5.7 ± 3.4, p < 0.001) decreased significantly during follow-up. Changes in total MRE score were negatively correlated with SMI changes (r = − 0.408, p < 0.01) but positively correlated with VA/TA index changes (r = 0.479, p < 0.01).","Validation issues: 1 validation error for ClinicalData
extraction_notes
  String should have at most 300 characters [ty",0,1,2025-12-02 15:03:31.419995
First_Reported_Successful_Use_of_Infliximab_Maintenance_Therapy_for_Dual_Treatment_of_Crohn_Disease.pdf,2025.0,case report,1.0,adult,34.0,100.0,"perianal fistulizing, luminal",,False,,,True,,,,"feeling well, 1-2 bowel movements per day without blood, denied abdominal pain, urgency, nocturnal awakenings, or difficulty urinating",infliximab,12.0,0.7,1,"This case report describes the novel use of infliximab as maintenance therapy for both Crohn disease and idiopathic retroperitoneal fibrosis in a patient with concurrent disease. A 34-year-old man with Crohn disease developed a pelvic mass and hydroureteronephrosis, leading to an idiopathic retroperitoneal fibrosis diagnosis.","This is a single case report focused on a novel therapeutic application. No MRI scoring systems (Van Assche, MAGNIFI-CD, etc.) are mentioned or used. The paper describes clinical and imaging improvement but does not quantify disease activity using standardized MRI indices.",0,0,2025-12-02 15:03:31.419995
